"","restoration","conservation","climatechange","invasion","x"
"Journal Of Biological Dynamics",0,0.0101010101010101,0.0101010101010101,0.0606060606060606,99
"Journal Of Chemical Ecology",0.000428908428050611,0.00407463006648081,0.00171563371220244,0.0220887840446065,4663
"Journal Of Ecology",0.0100233879051119,0.0314066154360174,0.0567991981289676,0.0778483127297026,2993
"Journal Of Evolutionary Biology",0.00208116545265349,0.0111862643080125,0.0072840790842872,0.014047866805411,3844
"Journal Of Experimental Marine Biology And Ecology",0.00580501963462523,0.00819532183711798,0.016390643674236,0.0235615502817142,5857
"Journal Of Fish And Wildlife Management",0.0293040293040293,0.117216117216117,0.0256410256410256,0.032967032967033,273
"Journal Of Freshwater Ecology",0.00594059405940594,0.00528052805280528,0.00396039603960396,0.0211221122112211,1515
"Journal Of Natural History",0,0.023694602896007,0.00307152259763054,0.0118473014480035,2279
"Journal Of Plant Ecology",0.0184331797235023,0.0276497695852535,0.0506912442396313,0.0944700460829493,434
"Journal Of Plant Interactions",0.00539083557951483,0.00808625336927224,0.00269541778975741,0.0215633423180593,371
"Journal Of Soil And Water Conservation",0.0249084249084249,0.242490842490842,0.019047619047619,0.0021978021978022,1365
"Journal Of Tropical Ecology",0.00233918128654971,0.0111111111111111,0.00467836257309942,0.0204678362573099,1710
"Journal Of Vegetation Science",0.0202183582693085,0.0222401940962394,0.0363930448847554,0.0456934896886373,2473
"Journal Of Wildlife Management",0.0123367198838897,0.04644412191582,0.00362844702467344,0.0215287856797291,4134
"Landscape And Ecological Engineering",0.108,0.076,0.016,0.044,250
"Landscape And Urban Planning",0.0323393532129357,0.0995380092398152,0.0201595968080638,0.00713985720285594,2381
"Landscape Ecology",0.0280511811023622,0.0851377952755906,0.0457677165354331,0.0339566929133858,2032
"Marine Biology Research",0.00572519083969466,0.0066793893129771,0.0124045801526718,0.017175572519084,1048
"Marine Ecology Progress Series",0.00631332813717849,0.0134060795011691,0.0226032735775526,0.0210444271239283,12830
"Methods In Ecology And Evolution",0.0032017075773746,0.0533617929562433,0.0373532550693703,0.0405549626467449,937
"Microbial Ecology",0.00180701120346946,0.00180701120346946,0.00180701120346946,0.00433682688832671,2767
"Molecular Ecology",0.00230289894337578,0.0739636954754809,0.0193714440531021,0.0470062313736115,7382
"Molecular Ecology Resources",0.0014168319637291,0.0612071408330972,0.000566732785491641,0.0436384244828563,3529
"Natural Areas Journal",0.107066381156317,0.168094218415418,0.0214132762312634,0.127408993576017,934
"Nature Ecology & Evolution",0,0.0282485875706215,0.0112994350282486,0.0225988700564972,177
"New Zealand Journal Of Ecology",0.055793991416309,0.105865522174535,0.00715307582260372,0.120171673819742,699
"Northeastern Naturalist",0.00612745098039216,0.0220588235294118,0.00612745098039216,0.0355392156862745,816
"Northwest Environmental Journal",0.0638297872340425,0,0.106382978723404,0,47
"Northwest Science",0.0300120048019208,0.0192076830732293,0.00720288115246098,0.0288115246098439,833
"Oecologia",0.00434677614102874,0.00917652740883844,0.0318763583675441,0.0428640425018112,8282
"Ohio Journal Of Science",0.0130434782608696,0.00434782608695652,0,0.0130434782608696,230
"Oikos",0.000357142857142857,0.00535714285714286,0.00446428571428571,0.0225,5600
"Oryx",0.0125838926174497,0.435402684563758,0.014261744966443,0.0285234899328859,1192
"Paleobiology",0,0.00411946446961895,0.00617919670442842,0.0082389289392379,971
"Pedobiologia",0.0099728014505893,0.00634632819582956,0.00815956482320943,0.013599274705349,1103
"Perspectives In Plant Ecology Evolution And Systematics",0.0181818181818182,0.0545454545454545,0.0623376623376623,0.127272727272727,385
"Phytocoenologia",0.0144927536231884,0.0386473429951691,0.0217391304347826,0.0144927536231884,414
"Plant Ecology",0.0282051282051282,0.0256410256410256,0.0304487179487179,0.0836538461538461,3120
"Plant Species Biology",0.0208955223880597,0.0865671641791045,0.00298507462686567,0.0656716417910448,335
"Polar Biology",0.000581057524694945,0.00435793143521209,0.0348634514816967,0.0084253341080767,3442
"Polar Record",0,0.0033112582781457,0.0231788079470199,0,302
"Polar Research",0.00188323917137476,0.0112994350282486,0.0753295668549906,0.00753295668549906,531
"Polar Science",0,0,0.0459183673469388,0.0102040816326531,196
"Polish Journal Of Ecology",0.0184182015167931,0.0335861321776815,0.0184182015167931,0.0346695557963164,923
"Polish Polar Research",0,0,0.0275229357798165,0.00917431192660551,218
"Population Ecology",0.0032258064516129,0.0408602150537634,0.0204301075268817,0.0537634408602151,930
"Proceedings Of The Academy Of Natural Sciences Of Philadelphia",0.00552486187845304,0.00552486187845304,0,0.00552486187845304,181
"Proceedings Of The Linnean Society Of New South Wales",0.00833333333333333,0.0583333333333333,0.0166666666666667,0.0166666666666667,120
"Rangeland Ecology & Management",0.0521327014218009,0.023696682464455,0.00904782421370099,0.0581645842309349,2321
"Rangeland Journal",0.0393258426966292,0.0599250936329588,0.050561797752809,0.0468164794007491,534
"Regional Studies In Marine Science",0.0531914893617021,0.0319148936170213,0.0212765957446809,0.0106382978723404,94
"Restoration Ecology",0.752314814814815,0.0491898148148148,0.0133101851851852,0.0850694444444444,1728
"Revista Chilena De Historia Natural",0.00424628450106157,0.0700636942675159,0.00955414012738853,0.0307855626326964,942
"Revue D Ecologie La Terre Et La Vie",0.00695652173913044,0.0469565217391304,0,0.0295652173913043,575
"Russian Journal Of Ecology",0.00886917960088692,0.0133037694013304,0.0232815964523282,0.016629711751663,902
"Southeastern Naturalist",0.0102774922918808,0.0184994861253854,0.00102774922918808,0.0174717368961973,973
"Southwestern Naturalist",0.00373931623931624,0.0144230769230769,0,0.00854700854700855,1872
"Texas Journal Of Science",0.00411522633744856,0.00617283950617284,0,0.00617283950617284,486
"Theoretical Ecology",0.00323624595469256,0.0161812297734628,0.0226537216828479,0.0841423948220065,309
"Theoretical Population Biology",0,0.00434782608695652,0.00217391304347826,0.0384057971014493,1380
"Trends In Ecology & Evolution",0.00629555997349238,0.047713717693837,0.0139165009940358,0.0215374420145792,3018
"Tropical Ecology",0.0318471337579618,0.10828025477707,0.0222929936305732,0.054140127388535,314
"Urban Ecosystems",0.0174418604651163,0.0658914728682171,0.00581395348837209,0.0387596899224806,516
"Vie Et Milieu Life And Environment",0.00597609561752988,0.0219123505976096,0.00398406374501992,0.0179282868525896,502
"Western North American Naturalist",0.0187090739008419,0.028999064546305,0.00374181478016838,0.039289055191768,1069
"Wetlands",0.124940617577197,0.0346793349168646,0.0209026128266033,0.0446555819477435,2105
"Wildlife Biology",0.00700116686114352,0.0396732788798133,0.00816802800466744,0.0163360560093349,857
"Wildlife Monographs",0.0606060606060606,0,0.0303030303030303,0.0303030303030303,33
"Wildlife Research",0.00716253443526171,0.0611570247933884,0.009366391184573,0.0319559228650138,1815
